index,park,city
24,Last time I drank orange juice and it was as fresh as I thought. I thought it would taste sweeter though.,I just wonder if people would come closer to me if I open my heart.
25,"When I used to go on a picnic during school days, I used to be jealous to see lunch meals carefully made.",It's more difficult to get closer to someone than wait for someone to come.
26,I feel like I’m getting more into the sound of rain.,My feet hurt from walking around all day.
27,"I hope my heart will warm up someday. I want to throw away all of the fear, anxiety and worries.",I guess there aren't many places in the city to sit down.
28,It’s not bad to come outside and enjoy the sound of rain and to see the scenery.,This is going to be a valuable moment for someone.
29,There are many really dark clouds.,Wouldn't it be great if you could change people's bad habits?
30,This cat looks so relaxed. I wonder what is it thinking about.,I don't want to know how it feels when the sky falls. I hope no one feels it.
31,It comes and goes quietly at some point.,I always wonder what the end of the road looks like.
32,I haven't gone to the bank for a long time because I have no reason to go there.,If I'm lost and wandering... I hope you find me
33,"Even if you are busy, you should do some walking exercise for your health sake.","If you don't have any plans yet, it's good to make one right now. It's not too late."
34,"When I go on a picnic, I don't think I've ever made gimbap. I always bought it.",...I love the sound of rain
35,"When I was a child, I used to play outside a lot when it was raining. However, I usually was getting a cold afterwards...",How much rest can we take in our busy lives?
36,The rain is making the ground all muddy and it’s getting my shoes dirty. I don’t like that at all.,It's good to take a break from your work and clear your head.
37,I used to think that if I got on a swing and swing higher and higher I could reach the sky. Maybe someday...,"Even if we don't know each other now, we can get along and soon get to know each other."
38,"Snails have a home since they were born, just like turtles.",You can miss it even if it is right in front of you. So you have to look at it carefully.
39,I want to eat chocolate chip cookies. They're even more delicious with milk.,We don't know what they're thinking if they don't talk.
40,It's raining. hmm..,I don't care when we go back. We can go whenever you want to go home.
41,I feel bad right now but the sky is crying instead of me.,"There is a shop right next door, selling all kinds of things."
42,Nobody knows how I feel but only the sky knows.,"There are many things I want to buy, but buying what I need comes first."
43,"When I was child, I used to climb up on the wall and fall. It was so dangerous.",It's good to have a variety of food because I can try different tastes.
44,It’s beautiful when the sun shines through the clouds. I can’t wait to see it.,"If you save money, you can buy a better thing."
45,Nothing will change if I bow my head.,"I like sleeping on the floor, but I prefer to sleep on a soft bed."
46,I don't know what I have. Someday I'll get to know it.,"After spring comes summer, then autumn, and after that it’s winter. And when winter passes, spring comes again."
47,I feel so refreshed when the rain pours. It seems it would rain endlessly and flow steadily.,I think rainboots are the best on rainy days.
48,"If they don't want to let someone know they're crying, they can get rained on.",It's raining so the road is slippery. I have to be careful.
49,I remember a cartoon related to the rain that I watched when I was much younger. I remember the song.,"When you go out, you can hear various sounds."
50,"I miss my good old days when I used to talk with others. So I wanted to start a conversation but I didn't have the courage. Thanks to you, I often talk now.","If the rain comes when I want to cry, it feels like it’s crying for me instead. Somehow I’m thankful for that."
51,I was walking on a road endlessly in my dreams. And a road is no dead end.,"Many people are laughing, but are they really laughing because they want to?"
52,Where did all the people go who said they would help me out?,"Sometimes it’s sad that no matter how hard you try, you can't get it."
53,I think I've been feeling something that I haven't felt lately. Are my emotions coming back to life?,We don’t want to do anything on a gloomy day. It won’t be a big problem if we don’t do anything for a day. So don’t worry.
54,"When I was a child, I was afraid of the sound of rain. I was often alone on rainy days.",People's umbrellas have such different colors.
55,Sometimes it's good to go out,I feel good every time I go out. I like it in many ways.
56,I want to drink a glass of warm milk when I get home.,"Everywhere I go, it's crowded with people of all kinds."
57,The sound of rain you hear outside is different from what you hear inside.,"When I was a kid, I raised my hands while crossing the road. I do not do it now."
58,I want to eat kimchi pancake. I also want to eat pajeon...,I only live once. So my life is precious.
59,"Actually, I'm shy, so that's why our conversation was the way it was.",There's no guarantee that you'll never lie again once you lied.
60,"It’s been raining these days, but the rain will stop one day. Then I'll look back and miss this moment.",I hope to live in a world with no worries. Endless worries give me a headache.
61,I remember that I couldn't talk well when we first met. I think you may have felt frustrated.,Hearing the sound of rain makes my mind feel at ease.
62,It's been a long time since I've been to the sea. I wonder what the ocean looks like when it rains.,Sometimes it's good to take a walk like this.
63,I used to play with a swimming ring at the beach when I was a child. But the waves were big and scary.,There was a delicate smell of coffee at a coffee shop.
64,"They say goldfish have bad memories, but I think it's same with people.","The other day, someone asked me for directions, but I didn’t know, so I couldn’t help."
65,I think I'm too big for the slide. It's small for me.,"I listen to rain every day, even when I’m tired and exhausted."
66,It's good to say hello to the other person. Because greetings tell people's impressions.,I won't wear my new sneakers during the rainy season. I don't want to have mud spattered on my sneakers.
67,"Even if you are going through a lot of things, you have to overcome it. But it's truly hard.",I don’t need more clothes. I’m good now.
68,I saw a claw machine on the street and the white doll inside was cute.,I think this place is crowded with people.
69,"Before it rained, the air was not good but now I think I feel so fresh.",There are countless things hidden by the splendor of the city.
70,"It's been a long time since I saw stars in the night sky. When I was a child, I saw the milky way in the countryside when the sky was clear.","If there is a bright side, there is also a dark side."
71,We have unforgettable past and memories.,I found a bill on the street last time.
72,"Everyone has a past that they want to forget. If we knew how to forget it, we would have forgotten it sooner.",Time goes on like it keeps on raining.
73,"I want to go to the arboretum. If it's after the rain, the air will be clean.",The city seems to be crowded day and night.
74,I think there are many colors of umbrellas. The designs and shapes are all different.,"The last time while I was walking, I saw a puppy. It was so cute."
75,The fireworks in the night sky are beautiful sceneries. I want to see it someday.,"Last time when I saw kids running around, I was worried that they might slip in the rain."
76,"The snail crawled, and it seemed to be moving with all the best efforts. It's good to live as best as it can.",The sky can be big or small.. It depends on how you think.
77,The dewdrop on the petals at the flower shop was beautiful. It was cool to see that rolling.,I once saw a cat in an alley and he was avoiding the rain.
78,I think my hair is damp. I should go home and dry it.,"If you're hungry, you can buy something to eat and eat right away."
79,"If you stay out for a long time, you'll catch a cold.",I have to move around to build up my stamina.
80,I don't want to get sick because I have to take a pill when I get sick. I hope I don't get sick.,Sometimes I wonder if all of this is a dream.
81,"If there's no one who understands me, even if there are a lot of people around me, I may think I'm lonely.",People can’t always win the game. There are times when they lose.
82,(Their umbrella shook as the wind blew),(They are looking at the flowing rainwater silently)
83,There are times when I depend on memories.,"Nowadays, I think information spreads fast."
84,"I had to go home when it rained while playing in the playground. Otherwise, my parents would get worried that I might catch a cold.","When I have depressing thoughts, I can't stop and the thoughts go on endlessly."
85,"It is better to stop thinking, close your eyes and take a rest when you don't know what to do.","I want to greet new people with a big smile, but this is hard."
86,I’m spaced out at this moment but I’m good with that. Because I usually have a lot on my mind.,Water splashed on me when a person passed by. Maybe the person stepped on a puddle.
87,"I’m hungry but if I want to buy some food, I have to cross the street. I'll have to go and see later.",A passerby was on the phone and it seems he was angry.
88,"If there is good, bad will always follow.",Sometimes I feel good and refreshed when I go out.
89,I feel at ease. I hope you do too,How many people are here in the buildings? I can't imagine it.
90,(They were closing their eyes quietly and then opened their eyes carefully),It is difficult to apologize for what people did wrong. Some people can't do it for their lifetime.
91,^Can I be someone special?|Yes|I don't know yet if I will be someone special... I don't think it's a bad thing.| Perhaps|It's hard... Maybe it's never going to happen in my life.,"When you're free now, you'd better enjoy it. Because you will miss it once you’re not free."
92,"^Will the wishes come true later?|Of course|If you sincerely desire it, it will come true. My wish and your wish... one day. | ... |(They look at the sky without saying a word)... I thought about something else for a moment.","Even if time goes by, the world will remain the same. perhaps.."
93,"^Do you tend to pick up trash when you see it?|Pick it up|It's a good thing to do. I hope that behavior will become a good habit someday.|Don't|...Actually, I'm not really picking it either. Even if I know it shouldn't be like that.",I think the murky air has cleared because it rained.
94,^(They are touching the raindrops with their hands)|Watch|...I do this because it feels good in my hand.|Join in|...It's nice to do it together. Does it feel good in your hand?,"^Have you ever seen a bird fly in the sky?|Yes|There are a lot of pigeons and sparrows in the city, so it's easy to see them.|No |It's raining so it's hard to see birds flying."
95,"^Have you ever seen a music box?|I have|I've tried twisting a wooden music box before, and I liked the sound because it was so clear.|I haven't|If you have a chance, take a look at the various music boxes. I once saw a music box made of wood","^There are various dolls these days. Do you like dolls?|Like|Fluffy, cute and soft to the touch. You can also decorate them. |Don't like|I'm not a fan of scary looking dolls either."
96,^There's a delicious bakery across the street. Would you like to go there later?| Yes|Chocolate Chip Cookies are moist yet crispy. I really want to try them.| No|I didn’t realize that you don't like it. We can go eat something else.,"^Have you ever had an umbrella overturned in the wind?|I have|Once, in the middle of the road, the umbrella got blown into the shape of an antenna, it was embarrassing. I was ashamed.|I haven't|It looks like the umbrella is sturdy. It would be sad if it broke."
97,^ I want to rest as soon as I get home. |Lie down|Then you will become lazy. You should at least clean your room.| Wash up|It's necessary to wash your hands after taking a walk. There is a lot of dirt outside.,"^Do you like having a lot of people around?|I do|It's good to be surrounded by people. Then I can see a lot of people live. |I don't |It can be not so easy if there are many people. Also, being quiet is bad."
98,"^Shall we go home soon?|Go|Let's stay a little longer. I want to feel the breeze. |Not now |I want to stay a little longer, too. It's a bit chilly but it's okay.","^When you eat sundae, do you eat tteokbokki with it?|I do eat|I love that you can dip the sundae into the tteokbokki soup and eat it. They fit well together. |I don't |You don't need to order anything else to enjoy the taste of sundae."
99,^There are times when we meet and say goodbye. The day will come when you don’t visit me someday. |Yes|But I hope you to remember that I was here... Thanks|No|(They turned their heads) Thank you for telling me.. friend.,"^Do you like eating bread?|I like|I like it because it is soft and delicious. There are so many different kinds, I want to try them all.|Don't like|Maybe you can't eat flour products or you just don't like them. Should we eat something else?"
100,"^If what you said becomes true, will the world get better or worse? |PerhapsIt would be good if it gets better, but there will be people who abuse it.|Soon better|I think it can get better depending on what you think at some point","^Do you like coffee?|Yes |The coffee smells good and seems to make sleepiness disappear.| No|If you drink too much, you won't be able to sleep at night... ugh"
101,"^Which one do you like better, Sundae or Tteokbokki? |Sundae|I love to dip the sundae into the tteokbokki soup and eat it because it is delicious. You can dip it in salt.|Tteokbokki|Tteok and emouk are more delicious because they're chewy. But I don't like spicy food.","^It sounds like you've come here a long way from home, isn't it tiring?|A little|But since it's long distance, I think it's good for you to walk that much.|No|I'm glad... Actually, it's a little difficult for me, but I'm still able to bear with it."
