index,대화0,대화1,대화2,대화3,대화4,대화5
33,(They are rubbing your hands.),I think I have a cold..,I hope there's something fun.,I don‘t think I would need the sunscreen that I recently got.,"I think it's really important to communicate with people, as I'm talking to you right now.",I want to go out and eat with you later.
34,(They're looking at the floor.),(They're drawing a circle with their fingers.),I hope to sleep well at night.,Sometimes a cat comes at the window and stares at me. I have nothing to give him.,I want to hang out with you later.,I recently saw a butterfly. It was beautiful.
35,(They're looking at the ceiling.),"(When they made eye contact, their eyes returned.)",I think I'm sleepy. Hmm..,Sometimes a sparrow rests at the window. It seems it is trying to stay out of the rain.,I want to go out and eat with you later.,I think I saw a bit of sunlight today..
36,(They're looking out the window.),Spider webs..,I want to drink a cup of warm tea.,I'm gaining weight since I have been eating cup noodles often lately.,I recently saw a butterfly. It was beautiful.,It reminds me of the kid I had a crush on when I was young.
37,I'm lazy to wash my body..,(Somewhere I heard the sound of a stomach growling.),A mosquito bit my leg yesterday. It's so itchy.,I haven't been to a Korean spa for a long time so I can't remember it.,I think I saw a bit of sunlight today..,"Even if I don't like vegetables, I have to eat them for my health."
38,I ran out of tissue.,Is it cold?,I think it's more fun and better to concentrate if I make a sound while reading a book.,This place was drowned when rain poured a lot in the old days. We had hard times at that time.,It reminds me of the kid I had a crush on when I was young.,Lying down and listening to the sound of rain makes me feel at ease. It seems that I'm falling asleep when I listen to it.
39,(They are watching bugs.),How long has it been since I ate bread? I can't remember.,I want to shout at the top of my lungs on the mountains.,"(They are humming. When our eyes met, they paused. Their cheeks got blushed.)",Lying down and listening to the sound of rain makes me feel at ease. It seems that I'm falling asleep when I listen to it.,"Have you ever seen lightning? I only heard it, but I don't seem to have ever seen it."
40,I'm tired of doing nothing..,I think the room is getting smaller..,"(When our eyes met, I saw a smile for a second.)",Let me know if you're hungry. I can give you just a cup of water.,"Have you ever seen lightning? I only heard it, but I don't seem to have ever seen it.","(When we looked at each other, the staring contest began. ...I lost.)"
41,I don't have something to say...,I like instant noodles. It’s true..,(They are drawing something with their index finger on the floor.),"Someday, I want to go to a cafe and drink coffee relaxed.","(When we looked at each other, the staring contest began. ...I lost.)","It's worse if you force yourself to move when you're tired. I know you have a lot of work, but you have to rest."
42,(They are watching spider webs.),Time goes continuously...,"I remember making paper cranes when I was young. I hoped to fold 100 of them, but I only folded 10 and gave up.","Even if I don't like vegetables, I have to eat them for my health.","It's worse if you force yourself to move when you're tired. I know you have a lot of work, but you have to rest.","When I look at myself in the mirror, I feel small, but I would get better after working out."
43,I don't have anything to do..,Is the battery enough?,The sound of the rain is stronger at night.,"I can't only eat rice everytime. I want to try other foods, too.","When I look at myself in the mirror, I feel small, but I would get better after working out.","I went out at night, the streetlight was dim. I hope it's fixed soon."
44,(Somewhere I heard the sound of something scratching.),It's a meaningless time.,"These days rain water must be contaminated, Isn't it right?",It reminds me of the kid I had a crush on when I was young.,"I went out at night, the streetlight was dim. I hope it's fixed soon.",It's hard to be a precious person to someone.
45,(They are dusting off their surroundings.),I only have one pair of shoes.,It's a nice day to meditate.,(I saw them dozing off for a while and then waking up. I think I got caught laughing.) Don't laugh..,It's hard to be a precious person to someone.,"(When our eyes met, I feel they're getting close to me, not avoiding me. It's all in my head...)"
46,My clothes.. Hmm,I always buy and eat food.,"Today is the day to throw away the trash, but I'm lazy to go out and throw it away.","When I look at myself in the mirror, I feel small.","(When our eyes met, I feel they're getting close to me, not avoiding me. It's all in my head...)","I'm not good at expressing things, but I learned that it's good for each other if I open my heart and tell them honestly."
47,(They are thinking about something.),I don't like to be sticky.,I can't sleep well at night.,"When I was child, I saw the milky way and it was so beautiful. Can I see it again someday?","I'm not good at expressing things, but I learned that it's good for each other if I open my heart and tell them honestly.","I didn't desire to do anything before. I just wanted to live meaningless. But these days, I would like to try something."
48,Oh.. It's cold.,^What are you looking at now?|You|..I don't understand why you are looking at me. |Nothing |I think you are weird..,*Cough* Dust keeps going into my throat.,The children who had colorful umbrellas passed by outside. Maybe they're going on a picnic.,"I didn't desire to do anything before. I just wanted to live meaningless. But these days, I would like to try something.","(They used to cough a lot, but now it stops.)"
49,The floor feels damp.,^Do you like talking with me?|Yes|I see ..Hmm|No|Then why are you talking with me? It's weird..,There's a lot of dust on the TV.,It's good to use a hand warmer when it's cold.,"(They used to cough a lot, but now it stops.)","While sleeping, I heard the sound of grass bugs. Maybe it was raining a little. It's been a while since I heard it."
50,The time is..,^(I can feel their eyes. Shall I turn my head?)| Do it|(They made eye contact with me for a second and then looked away.) |Do not |(I'm not feeling their sight any more.),I don't want spiders to bite me.,I think I won't be bored if I have a rocking chair at home.,"While sleeping, I heard the sound of grass bugs. Maybe it was raining a little. It's been a while since I heard it.","I saw a little white puppy when I was child. He ran toward me with his tail wagging, but I was scared because he looked so big."
51,blank,blank,"If I focus on the sound of the rain, my anxieties go away.",I almost caught a cold because I ate ice cream in winter. I shouldn't eat it in the winter.,"I saw a little white puppy when I was child. He ran toward me with his tail wagging, but I was scared because he looked so big.","(I was thinking of leaving this room, but you looked happy. So I decided to stay a little longer.)"
52,blank,blank,"Sometimes, I hear rustling sounds from the ceiling.",It's really nice to feel the warmth as soon as you get home.,"(I was thinking of leaving this room, but you looked happy. So I decided to stay a little longer.)",I'm happy talking to you these days. I hope you feel the same way as I do.
53,blank,blank,I was surprised at the hit of a drop of water while sleeping. I guess the rain leaked from the ceiling.,"(They used to cough a lot, but now it stops.)",I'm happy talking to you these days. I hope you feel the same way as I do.,Better late than never. What‘s wrong with being a little late? Just the starting point is different. You never know what the result will be.
54,blank,blank,I heard a thud from the wall. I'm worried that it might collapse.,(They are looking at the window they had decorated and smiled. They seemed to be proud.),Better late than never. What‘s wrong with being a little late? Just the starting point is different. You never know what the result will be.,"I didn't wash often because I was lazy, but I take a shower really often these days. It makes me feel refreshed."
55,blank,blank,"I fall down every time I ride a bicycle, but I want to try riding it.","How long has it been since you came here? It seems to be short, but I think it's pretty long.",(They were looking out the window with no words.) Rain was pouring.,(They were looking out the window with no words.) Rain was pouring.
56,blank,blank,"As the truck passed by next to me, the room was shaking. So I thought it was an earthquake.","Honestly, there are so many things I want to do... I know that there is no such single thing to satisfy my life...","I'm starving but after taking a nap, I might feel less hungry.","I'm starving but after taking a nap, I might feel less hungry."
57,blank,blank,"I wanted to have a bird, but I don't want to lock it in a cage. I don't like being locked up either.",I didn't wash often because I was lazy.. That's bad.,"If I could go to the sauna, I want to try boiled eggs and a Korean rice drink.","If I could go to the sauna, I want to try boiled eggs and a Korean rice drink."
58,blank,blank,This place is full of dust and smell of rain.,Sometimes I imagine that I'm already full after eating something delicious to get rid of my hunger.,I've been practicing writing. I‘m getting better at it.,I've been practicing writing. I‘m getting better at it.
59,blank,blank,Mushrooms grew on the corner of the room. It doesn't seem that I can eat them.,I want to go to famous places in my country someday.,"I always bought cup noodles at the convenience store, but they had other things as well.","I always bought cup noodles at the convenience store, but they had other things as well."
60,blank,blank,It seems that there's dust in my eyes.,"If I go on a trip and buy a souvenir, I'll give it to you.",There was a claw machine game on my way home. But I skipped it since I had to save some money. I will try it next time.,There was a claw machine game on my way home. But I skipped it since I had to save some money. I will try it next time.
61,blank,blank,There's a hole in my favorite clothes. Never mind...,I've been practicing my writing recently because I have bad handwriting.,"It's better to have windows fixed. Do you remember when the windows crashed? Thinking of that makes me embarrassed,","It's better to have windows fixed. Do you remember when the windows crashed? Thinking of that makes me embarrassed,"
62,blank,blank,I always couldn't find what I needed.,I'm trying not to eat instant noodle often these days.,There are times when I read and imagine a lot. Wondering in my imaginary world is good.,There are times when I read and imagine a lot. Wondering in my imaginary world is good.
63,blank,blank,"When I was child, the sun was shining brightly, but I remember it rained a lot after the sunshine. It was so fascinating.",I can't remember where I put the tissue. Hmm...,Feels like drinking a cup of coffee or hot chocolate.,Feels like drinking a cup of coffee or hot chocolate.
64,blank,blank,"When I was 5 years old, I hit my finger on the door. I cried, but no one helped me.",Now I don't get scared when I see bugs. I guess I got used to it.,"Even if you are starving, it's better not to eat in overnight. Rather it's better to sleep through it.","Even if you are starving, it's better not to eat in overnight. Rather it's better to sleep through it."
65,blank,blank,It's good to read new books.,I think it's been a while since I've trimmed my nails. I need to trim it a bit.,Having a hot shower makes me feel better.,Having a hot shower makes me feel better.
66,blank,blank,I wish I could dry my clothes under the sun.,I recently got a call to say hello. I said I was doing well.,It's been a while since I left my home. Public transportations are getting better.,It's been a while since I left my home. Public transportations are getting better.
67,blank,blank,Sometimes I hear some kind of rustling sound from the ceiling.,I want a big and fluffy doll. I can hug it when I sleep.,I feel like singing. The sound wouldn't be heard from the rain.,Looking at a smartphone for a long time would not be good for my eyes. Taking some rest would be better.
68,blank,blank,"It's small, but it's nice to have my own room.","When I was child, I liked snow when it piled up as much as my knees. It was fun to play alone.","(They were looking at the ceiling, and when following the sight, I found a web.)",Walking around too much makes my feet hurt. Sometimes my skin gets grazed and that makes my feet hurt.
69,blank,blank,I want to eat freshly baked bread. I haven't eaten it for a long time.,I recently visited a country house and it was full of grass that was very small.,I was trying to cook but I got hurt. I want to be good at cooking soon.,"Foot is known as the heart. If you massage it well, it's good for the health."
70,blank,blank,"I believed in Santa Claus when I was child. But now, hmm...",I'm afraid to go to a hospital. It will be scary as always.,I was dreaming of flying. Then I could go above the clouds and see the sunlight.,"If I can't trust a person, I can't get the trust from the one."
71,blank,blank,I ate delicious food in my dream. I wish I had eaten everything and woke up...,My mother always patted me on the back when I woke up from a nightmare.,I was cleaning the toilet. It was tiring but felt good when it was clean.,It's better to express through words by writing or speaking than none.
72,blank,blank,"Even if there's a lot of rainwater, I can't drink it.","I opened the windows for ventilation, so I think the dust has decreased.",I want to drink some juice. It would be fresh and sweet.,"When going up or down the stairs, my knee hurts."
73,blank,blank,"(As if they are thinking about something, they have been looking out the window for a long time.)","When I was child, the country house was really spacious. I walked around with that little body.",I both like chocolate and candy. They are sweet. I feel much better when eating one of them.,"I don't have strength from my legs so if I walk too much, my legs hurt."
74,blank,blank,"When I was a kid, whenever there was thunder, I hid myself under the blanket and wanted it to pass quickly.","I used to think about when would time go, but these days, it seems time flies.",I want to dip a piece of bread in soup. I want to eat them.,Finding a life of happiness is hard.
75,blank,blank,"At important moments, I don't seem to think of anything to say.",*Cough* Dust keeps going into my throat. I need to open the window for fresh air.,It's good to read different kinds of books. I wonder what other kinds of books are there in the world.,"Since life is once, it's valuable."
76,blank,blank,I fell off from playground slide once. I fell on my back and I couldn't breathe.,The sticker I put on the window last time was cute. I'm thinking about buying it again later.,I can write things on the memo if I have them. Then I could stick them to places to see it.,There is a lot of good music out there.
77,blank,blank,The present is called present in English. Is it a gift from the past?,"The windows shook by the wind, but it's not as scary as it used to be.","If I'm sleepy, I could sleep. Sleeping is needed for life.",There are times when we are with others and times when we are alone in life.
78,blank,blank,What kind of sound does a turtle make?,Waiting is exhausting. It's the same for me and for the other person.,"^Which one is your favorite? Candy or chocolate?|Candy|Candies can be melted or bitten and eaten right away. I can eat it in various ways.|Chocolate|If I melt chocolate in my mouth, it would warm my body in this weather.","When I'm starving, my stomach rumbles."
79,blank,blank,When rain comes while the sun is up it is called sun shower. I don't think I've seen it these days.,"^Do you usually eat alone?|Yes|Me, too. | No|It's good to eat when we are with others.","^Did you see the bird fly away?|I saw it|Does it mean that the rain is less coming? I'm not sure of it.|I don't |Did I see it wrong? If I saw a bird, I think it might rain a little.",We need to be lonely sometimes. The time differs for each person.
80,blank,blank,"Honestly, even if I'm sick, if I don't have someone to look after me ...I honestly think it's a bit sad.",^How is your family doing?|Good|I'm glad to hear that.| Not good|I'm sorry to hear that...,"^There's a valley I've ever visit, and it was really clean and nice. When the rain stops, why don't we go together?|Great |It'll be fun. We can have a good time, go fishing and have some delicious food.| No thanks|You don't seem to like valley. It's also good to stay at home.","When reading books, we gain knowledge."
81,blank,blank,^Is there something outside?|Nothing|It seems they are like me. hmm..|Hope|That can't be true. Funny.,^I'm hungry. What should I have? |Rice|But I'm too lazy to make it. I just want to eat instant noodle.|Noodle|I'm fed up with it. I just want to eat rice.,"^As I asked you before, do you like talking with me?|Yes|(They turned and looked at me.) Me, too. It's hard to speak up… | No|You may not like some aspects of me. But coming to meet me often means you don't hate me.","I usually read books when I'm alone, so I can concentrate well."
82,blank,blank,"^Do you have an umbrella?|No|I only have one, but take mine.|Yes|I'm glad you brought it. You're prepared.","^Have you ever traveled to other places?|Sure |You must have had a good time looking around, having delicious food, and buying souvenirs.|Nowhere |I believe that someday we can go everywhere we want.","^Do you believe your life will get better?|Yes|Me, too. As the rain stops and the sun shines, our life will be bright as well. |Definitely|Right. If you wait and persevere, it gets better.","When I'm out, it's cool and when I'm in, I feel cozy."
83,blank,blank,"^Do you know what happiness is?|Yes, I know|Tell me about it one day. I just wonder what it is.| No, I don't|I want to know about it one day.","^Which one do you like to eat, warm or cold?|Warm |When I eat warm things, I like to feel warmth spreading to my body. Just want to drink hot cocoa with marshmallows.| Cold|You can cool it down with a cold thing. Just want to take Patbingsu(Ice flakes with redbean) in the hot summer.","^Have you ever put rice cake in instant noodle?|Yes|I sometimes do. It tastes better when rice cake get mushy in instant noodle soup. | No|Then you can put other ingredients like egg, scallion in.",I once met an eye with a pigeon but it was a second. It flew away.
84,blank,blank,"^If you can correct the mistake you've done, would you do that? |Of course|Even if I could make the right decision, would it be better than the one before? It's difficult.. | Never|I have to think about it. But the first thing is that it's impossible to go back.","^Do you prefer to be alone or with anyone?|Alone|I was with you. But nowadays I changed my mind.|With someone|I think when someone is with me, I'm not scared anymore.","^It's a nice day to meditate, isn't it?| Right|So do you want to join me? Well, I'm already doing it.| Well |There might be a good day to meditate, But maybe not today.","When sitting for a long time, my back aches. It's better to stretch my back and body."
85,blank,blank,^Did you see the bug passing by my body?|Yes |Oh.. Why didn't you catch it?|No|Please catch it next time.,^How is your family doing?|Good|I'm glad to hear that. |Not good|I'm sorry to hear that..,"^Which one do you like to eat, warm or cold?|Warm|When I eat warm things, I like to feel warmth spreading to my body. Just want to drink hot cocoa with marshmallows.| Cold |You can cool it down with a cold thing. Just want to take Patbingsu(Ice flakes with redbean) in the hot summer.","When turning through the papers, we can cut fingers. So be careful."
86,blank,blank,blank,blank,blank,"When I feel the heartbeat, I feel alive."
87,blank,blank,blank,blank,blank,"When I feel frustrated, it's better to go out and feel the breeze,"
88,blank,blank,blank,blank,blank,"When muscles get stiff, it's better to make it loose."
89,blank,blank,blank,blank,blank,I hit my elbow on the edge of the table. It really hurt..
90,blank,blank,blank,blank,blank,If I could live in a dust free world then we could less clean the house. How good that would be..
91,blank,blank,blank,blank,blank,Eating vitamins are important. I can buy them outside.
92,blank,blank,blank,blank,blank,"If I want to drink cold or warm drinks, I can buy them outside."
93,blank,blank,blank,blank,blank,Sometimes there's nothing to say.
94,blank,blank,blank,blank,blank,"When talking too much, my throat dries."
95,blank,blank,blank,blank,blank,Having conversations is hard.
96,blank,blank,blank,blank,blank,I have too much dreams recently.
97,blank,blank,blank,blank,blank,"To remember what I have thought, taking notes is a good habit."
98,blank,blank,blank,blank,blank,It's getting hot when it's summer. I sweat a lot.
99,blank,blank,blank,blank,blank,Cherry blossoms are beautiful in spring.
100,blank,blank,blank,blank,blank,Trees look cold since leaves have fallen away in autumn.
101,blank,blank,blank,blank,blank,Snow falls in winter. And it gets cold...
102,blank,blank,blank,blank,blank,"When the seasons change, we have to be careful not to catch a cold."
103,blank,blank,blank,blank,blank,Sometimes it snows even in spring.
104,blank,blank,blank,blank,blank,The droning of the cicadas is the sign of summer.
105,blank,blank,blank,blank,blank,It's good to hear the ruffling sound of stepping leaves in autumn.
106,blank,blank,blank,blank,blank,"When wearing thin clothes, it would be cold."
107,blank,blank,blank,blank,blank,Turtles don't hibernate in warm places.
108,blank,blank,blank,blank,blank,I wonder how pyramids are made in the desert.
109,blank,blank,blank,blank,blank,I once saw some photos of beautiful cities. I want to go there sometime.
110,blank,blank,blank,blank,blank,There may be animals in the plain.
111,blank,blank,blank,blank,blank,"If I have work to do, then I should do it with all my best."
112,blank,blank,blank,blank,blank,(They were dozing for a second and woke up.)
113,blank,blank,blank,blank,blank,I feel like singing. The sound wouldn't be heard from the rain.
114,blank,blank,blank,blank,blank,"(They were looking at the ceiling, and when following the sight, I found a web.)"
115,blank,blank,blank,blank,blank,I was trying to cook but I got hurt. I want to be good at cooking soon.
116,blank,blank,blank,blank,blank,I was dreaming of flying. Then I could go above the clouds and see the sunlight.
117,blank,blank,blank,blank,blank,I was cleaning the toilet. It was tiring but felt good when it was clean.
118,blank,blank,blank,blank,blank,I want to drink some juice. It would be fresh and sweet.
119,blank,blank,blank,blank,blank,I both like chocolate and candy. They are sweet. I feel much better when eating one of them.
120,blank,blank,blank,blank,blank,I want to dip a piece of bread in soup. I want to eat them.
121,blank,blank,blank,blank,blank,It's good to read different kinds of books. I wonder what other kinds of books are there in the world.
122,blank,blank,blank,blank,blank,I can write things on the memo if I have them. Then I could stick them to places to see it.
123,blank,blank,blank,blank,blank,"If I'm sleepy, I could sleep. Sleeping is needed for life."
124,blank,blank,blank,blank,blank,The color of the curtains look good.
125,blank,blank,blank,blank,blank,I like the drizzling sound of the rain hitting the window. It feels like it's calling me.
126,blank,blank,blank,blank,blank,Raindrops fell through the window when I opened it to refresh the room. So I had to close them quickly..
127,blank,blank,blank,blank,blank,"When I opened the windows, a newspaper came in through the wind. But I couldn't read them since it was wet."
128,blank,blank,blank,blank,blank,"Now even if the wind blows hard, the windows don't rattle anymore."
129,blank,blank,blank,blank,blank,Do turtles like rain or not? Hmm
130,blank,blank,blank,blank,blank,I heard some turtles are fast. Would that be true?
131,blank,blank,blank,blank,blank,"One time, the turtle was not moving so I looked at it carefully but it was only sleeping."
132,blank,blank,blank,blank,blank,A turtle was about to eat a leaf of a plant. It could have been a trouble.
133,blank,blank,blank,blank,blank,(We met our eyes and did the staring contest. The turtle turned away.)
134,blank,blank,blank,blank,blank,Umbrellas should be kept in their holders.
135,blank,blank,blank,blank,blank,We need to rest after watching TV for a long time.
136,blank,blank,blank,blank,blank,Bugs pass so fast.
137,blank,blank,blank,blank,blank,Webs are everywhere. Sometimes it sticks on my face.
138,blank,blank,blank,blank,blank,Where did all the bugs go? I wonder.
139,blank,blank,blank,blank,blank,Light makes the room brighter. They are needed.
140,blank,blank,blank,blank,blank,Plants need care and patience.
141,blank,blank,blank,blank,blank,Do you have cups? They are useful for collecting rainwater.
142,blank,blank,blank,blank,blank,"It's good to sleep but if you sleep too much, it's not good for your health."
143,blank,blank,blank,blank,blank,I can see how the world goes when I read newspapers.
144,blank,blank,blank,blank,blank,"Jokes from newspapers are fun, right?"
145,blank,blank,blank,blank,blank,"When reading newspapers, I can learn four Chinese character idioms."
146,blank,blank,blank,blank,blank,The smell of paper stays longer because of rain.
147,blank,blank,blank,blank,blank,"Sometimes, the sound of rain seems like a concert for me."
148,blank,blank,blank,blank,blank,The place I live in is one small room. There's nothing more.
149,blank,blank,blank,blank,blank,It seems birds live in a world where they can freely fly since rain comes and go.
150,blank,blank,blank,blank,blank,Rain gives happiness to ones but sadness to others.
151,blank,blank,blank,blank,blank,Rains help dust go away.
152,blank,blank,blank,blank,blank,I want to eat sandwiches but there are so many vegetables.
153,blank,blank,blank,blank,blank,I want to eat chips outside.
154,blank,blank,blank,blank,blank,I remember how warm the sunshine was on me.
155,blank,blank,blank,blank,blank,I remember when I used to play outside in the rain.
156,blank,blank,blank,blank,blank,Have you seen fireflies? They seem to shine like stars. But I can't see them anymore.
157,blank,blank,blank,blank,blank,I once tapped a dog and its furs were smooth.
158,blank,blank,blank,blank,blank,"If I don't clean the room, more dust is in the room."
159,blank,blank,blank,blank,blank,"A light came through the window and when I saw it, it was moonlight through the clouds."
160,blank,blank,blank,blank,blank,Everything becomes damp after the rain. At least there's less chances of fire.
161,blank,blank,blank,blank,blank,"When thunder roars, it is scary. But I can get used to it."
162,blank,blank,blank,blank,blank,"When I lie to sleep, tucking myself under a blanket can make me have good dreams."
163,blank,blank,blank,blank,blank,I cleaned the dust from the bookshelves before you came.
164,blank,blank,blank,blank,blank,"When keeping the room pleasant, it's good for my health."
165,blank,blank,blank,blank,blank,"When I heard the noise outside the window, I saw children playing under the rain."
166,blank,blank,blank,blank,blank,"When wearing thin clothes, you can get cold. So be careful not to catch a cold."
167,blank,blank,blank,blank,blank,It's good to be healthy. So keep your health.
168,blank,blank,blank,blank,blank,(We met our eyes when I coughed.) I'm fine.
169,blank,blank,blank,blank,blank,Exercising is important. It's good to take a walk together.
170,blank,blank,blank,blank,blank,"There are different kinds of bread. There are several fillings inside. Red beans, Creams... Oh, I feel like eating them right now."
171,blank,blank,blank,blank,blank,(They were watching TV and stopped watching it.)
172,blank,blank,blank,blank,blank,"(After looking at the ceiling, they looked elsewhere.)"
173,blank,blank,blank,blank,blank,It helps to check grammar when I can read a lot of books.
174,blank,blank,blank,blank,blank,"When rain falls and eat cotton candy, the breeze of the wind can make cotton candy melt in the rain."
175,blank,blank,blank,blank,blank,Lights were out when thunder roared.
